,Unnamed: 0,User ID,Name,Rank,Elo,Tier,Avatar,vstar,ended_time,axie_1,Axie 1 Class,Axie 1 Eyes Part ID,Axie 1 Ears Part ID,Axie 1 Horn Part ID,Axie 1 Back Part ID,Axie 1 Mouth Part ID,Axie 1 Tail Part ID,axie_2,Axie 2 Class,Axie 2 Eyes Part ID,Axie 2 Ears Part ID,Axie 2 Horn Part ID,Axie 2 Back Part ID,Axie 2 Mouth Part ID,Axie 2 Tail Part ID,axie_3,Axie 3 Class,Axie 3 Eyes Part ID,Axie 3 Ears Part ID,Axie 3 Horn Part ID,Axie 3 Back Part ID,Axie 3 Mouth Part ID,Axie 3 Tail Part ID,axie_1_rune,axie_2_rune,axie_3_rune,axie_1_eyes_charm,axie_1_mouth_charm,axie_1_ears_charm,axie_1_horn_charm,axie_1_back_charm,axie_1_tail_charm,axie_2_eyes_charm,axie_2_mouth_charm,axie_2_ears_charm,axie_2_horn_charm,axie_2_back_charm,axie_2_tail_charm,axie_3_eyes_charm,axie_3_mouth_charm,axie_3_ears_charm,axie_3_horn_charm,axie_3_back_charm,axie_3_tail_charm,Comp
10,10,1ec9eb7e-68a9-64ec-a60c-4a1b386ce74e, FORDEX | Marino443 | G! ,11,Tiger,1,s4_top1k;bandila_celebration,1430,2023-07-27 06:46:24,11806688,plant,Papi,Leafy,Bamboo Shoot,Garish Worm,Serious,Cattail,11805812,plant,Blossom,Leafy,Bamboo Shoot,Hero,Confident,Cottontail,11805917,beast,Little Peas,Leafy,Bamboo Shoot,Ronin,Piranha,Shrimp,rune_plant_olek_1,rune_neutral_2010_s5_nft,rune_beast_2011_s5_nondec,ecard_plant_2012_s5_nft,ecard_plant_2011_s5_nft,ecard_plant_2013_s5_nft,ecard_plant_2013_s5_nft,ecard_neutral_2010_s5_nft,ecard_plant_2013_s5_nft,ecard_plant_2011_s5_nft,ecard_beast_tripp_1,ecard_neutral_1003,ecard_plant_2013_s5_nft,ecard_beast_2011_s5_nft,ecard_neutral_2014_s5_nft,ecard_beast_buba_1,ecard_aquatic_2011_s5_nft,ecard_neutral_2012_s5_nft,ecard_neutral_2011_s5_nft,ecard_beast_2011_s5_nft,ecard_aquatic_2011_s5_nft,Leafy
11,11,1ed2dedf-29a6-6858-b5d4-2e25ee4c09c0,LongTan | CO,12,Tiger,1,s2_top1k;gold_s2,1410,2023-07-27 06:44:09,11751748,bug,Topaz,Innocent Lamb,Bumpy,Timber,Square Teeth,Nimo,11756074,mech,Topaz,Innocent Lamb,Bumpy,Timber,Square Teeth,Nimo,11789310,mech,Topaz,Innocent Lamb,Babylonia,Bidens,Piranha,Nimo,rune_bug_2011_s5_nft,rune_mech_2011_s5_nft,rune_mech_2010_s5_nft,ecard_reptile_2011_s5_nft,ecard_bug_2013_s5_nft,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_2017_s5_nft,ecard_neutral_1001,ecard_neutral_2011_s5_nft,ecard_aquatic_2011_s5_nft,ecard_neutral_1001,ecard_aquatic_2011_s5_nft,ecard_plant_2011_s5_nft,ecard_aquatic_2013_s5_nft,Topaz
12,12,1ec9eb6f-4b97-6884-a60c-08bf62adb0bc,AQUANATICS,13,Tiger,1,tournament_atia;silver_s4,1410,2023-07-27 06:44:44,11792582,plant,Nerdy,Leafy,Bamboo Shoot,Watering Can,Serious,Hatsune,11795888,plant,Little Peas,Leafy,Bamboo Shoot,Buzz Buzz,Pincer,Cottontail,11793226,plant,Papi,Leafy,Bamboo Shoot,Garish Worm,Square Teeth,Shrimp,rune_plant_olek_1,rune_neutral_2010_s5_nondec,rune_neutral_offensive_1,ecard_neutral_2010_s5_nft,ecard_plant_2011_s5_nft,ecard_neutral_1001,ecard_plant_ena_1,ecard_plant_2011_s5_nft,ecard_plant_2011_s5_nft,ecard_beast_buba_1,ecard_neutral_2017_s5_nft,ecard_neutral_1003,ecard_neutral_2018_s5_nft,ecard_neutral_1003,ecard_neutral_2017_s5_nft,ecard_plant_olek_1,ecard_bug_2013_s5_nft,ecard_neutral_1003,ecard_plant_ena_1,ecard_bug_2012_s5_nft,ecard_aquatic_2011_s5_nft,Leafy
13,13,1ec9eb6f-7d84-67c0-a60c-54717c025c66,METAE SA SHORT,14,Tiger,1,filipino_flag;bandila_celebration,1410,2023-07-27 03:54:13,11747802,reptile,Gecko,Small Frill,Dual Blade,Green Thorns,Tiny Turtle,Potato Leaf,7,aquatic,Sleepless,Nut Cracker,Trump,Snail Shell,Lam,Fire Ant,11686122,plant,Puppy,Leaf Bug,Scaly Spoon,Green Thorns,Tiny Turtle,Gila,rune_reptile_2011_s5_nft,rune_reptile_venoki_1,rune_neutral_1010_s5,ecard_neutral_1001,ecard_reptile_2013_s5_nft,ecard_neutral_1010_s5,ecard_beast_2011_s5_nft,ecard_reptile_venoki_1,ecard_plant_2011_s5_nft,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_1010_s5,ecard_reptile_2013_s5_nft,ecard_plant_2012_s5_nft,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_1013_s5,ecard_reptile_2012_s5_nft,ecard_reptile_venoki_1,ecard_reptile_2013_s5_nft,Poison
14,14,1ec9eb6f-4702-677d-a60c-5b43771e8057,annace | Chomp Squad,15,Tiger,2,s4_top1k;silver_s1,1390,2023-07-27 03:57:49,11803709,bug,Blossom,Leafy,Bamboo Shoot,Pumpkin,Square Teeth,Cattail,11798974,bird,Bookworm,Leafy,Bamboo Shoot,Sandal,Square Teeth,Cottontail,11801874,aquatic,Sleepless,Leafy,Bamboo Shoot,Blue Moon,Goda,Shrimp,rune_bug_2011_s5_nft,rune_bird_2011_s5_nft,rune_neutral_offensive_1,ecard_plant_2011_s5_nft,ecard_bug_2013_s5_nft,ecard_plant_2011_s5_nft,ecard_plant_2013_s5_nft,ecard_plant_2011_s5_nft,ecard_plant_2012_s5_nft,ecard_bug_2013_s5_nft,ecard_neutral_2018_s5_nft,ecard_neutral_1003,ecard_neutral_1002,ecard_bug_2013_s5_nft,ecard_neutral_2014_s5_nft,ecard_aquatic_2013_s5_nft,ecard_beast_2011_s5_nft,ecard_neutral_1012_s5,ecard_neutral_1002,ecard_aquatic_puffy_1,ecard_aquatic_2011_s5_nft,Leafy
15,15,1ec9eb7e-6e7d-6b11-a60c-a3ca02f388a4,mt8 | siomai,16,Tiger,2,13;patrick23,1380,2023-07-27 06:44:55,11780843,bug,Clear,Innocent Lamb,Bamboo Shoot,Blue Moon,Square Teeth,Cottontail,11698396,aquatic,Little Owl,Owl,Feather Spear,Tri Feather,Little Owl,Feather Fan,11777774,mech,Nerdy,Innocent Lamb,Bamboo Shoot,Garish Worm,Confident,Cattail,rune_bug_2011_s5_nft,rune_aquatic_puffy_1,rune_mech_2011_s5_nondec,ecard_neutral_1010_s5,ecard_bug_2013_s5_nft,ecard_neutral_1010_s5,ecard_neutral_2010_s5_nft,ecard_neutral_1001,ecard_neutral_2020_s5_nft,ecard_bird_2012_s5_nft,ecard_bird_momo_1,ecard_bird_momo_1,ecard_neutral_2012_s5_nft,ecard_neutral_2012_s5,ecard_bird_2012_s5_nft,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_1001,ecard_plant_2011_s5_nft,ecard_neutral_2019_s5_nft,ecard_plant_2011_s5_nft,Machine Gun Owl
16,16,1ecda5b0-e181-6843-92e7-7bf0bfa81106,Kentie | Marino443 | G!,17,Tiger,2,s4_top20k;silver_s4,1380,2023-07-27 06:43:08,11796257,plant,Blossom,Leafy,Bamboo Shoot,Garish Worm,Square Teeth,Cattail,11780825,plant,Clear,Leafy,Bamboo Shoot,Hero,Square Teeth,Cottontail,11804955,beast,Puppy,Leafy,Bamboo Shoot,Ronin,Piranha,Shrimp,rune_neutral_2011_s5_nft,rune_neutral_2010_s5_nft,rune_beast_2010_s5_nft,ecard_plant_2011_s5_nft,ecard_bug_2013_s5_nft,ecard_plant_2011_s5_nft,ecard_plant_2011_s5_nft,ecard_bug_2012_s5_nft,ecard_plant_2011_s5_nft,ecard_neutral_1001,ecard_bug_2012_s5_nft,ecard_neutral_1003,ecard_plant_2013_s5_nft,ecard_beast_2011_s5_nft,ecard_neutral_2017_s5_nft,ecard_beast_tripp_1,ecard_aquatic_2013_s5_nft,ecard_neutral_2012_s5_nft,ecard_neutral_1002,ecard_beast_2011_s5_nft,ecard_neutral_1011_s5,Leafy
17,17,1ec9eb6f-9f72-6fa6-a60c-b5b92fbecc5c,KAMISAMA | SURA | SFG,18,Tiger,2,s3_top1k;silver_s1,1360,2023-07-27 01:27:11,11802772,plant,Blossom,Leafy,Bamboo Shoot,Garish Worm,Square Teeth,Ant,11802865,beast,Little Peas,Leafy,Bamboo Shoot,Buzz Buzz,Confident,Cottontail,11809286,beast,Little Peas,Leafy,Bamboo Shoot,Ronin,Confident,Shrimp,rune_plant_2010_s5_nft,rune_neutral_2010_s5_nft,rune_beast_2010_s5_nft,ecard_plant_2011_s5_nft,ecard_bug_2013_s5_nft,ecard_plant_2011_s5_nft,ecard_plant_2011_s5_nft,ecard_bug_2013_s5_nft,ecard_neutral_1013_s5,ecard_beast_buba_1,ecard_beast_tripp_1,ecard_neutral_1003,ecard_plant_ena_1,ecard_neutral_1001,ecard_neutral_1001,ecard_beast_buba_1,ecard_neutral_2017_s5_nft,ecard_neutral_1003,ecard_plant_ena_1,ecard_beast_2011_s5_nft,ecard_aquatic_2011_s5_nft,Leafy
18,18,1ec9eb6f-7d3e-6e9e-a60c-48922dc286d9,EnzoK,19,Tiger,2,shy;paschal_eggs,1360,2023-07-27 04:51:56,11784865,reptile,Gecko,Small Frill,Watermelon,Green Thorns,Tiny Turtle,Cottontail,7,aquatic,Sleepless,Nut Cracker,Trump,Snail Shell,Lam,Fire Ant,11791519,reptile,Gecko,Sidebarb,Lagging,Green Thorns,Tiny Turtle,Gila,rune_reptile_2011_s5_nft,rune_reptile_venoki_1,rune_reptile_2010_s5_nft,ecard_reptile_2011_s5_nft,ecard_reptile_2013_s5_nft,ecard_reptile_2011_s5_nft,ecard_plant_2011_s5_nft,ecard_reptile_2011_s5_nft,ecard_neutral_1010_s5,ecard_reptile_venoki_1,ecard_reptile_2013_s5_nft,ecard_neutral_2014_s5_nft,ecard_reptile_2013_s5_nft,ecard_plant_2011_s5_nft,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_1011_s5,ecard_reptile_2013_s5_nft,ecard_neutral_1010_s5,ecard_reptile_venoki_1,ecard_neutral_2012_s5_nft,Poison
19,19,1ec9eb7b-475d-6c6f-a60c-4484da7f6129,GUARDERIA POKEMON | HURU ,20,Tiger,2,s3_top20k;gold_01_s4,1350,2023-07-27 06:45:42,11707508,reptile,Clear,Larva,Antenna,Goldfish,Nut Cracker,Nimo,11793364,plant,Tricky,Innocent Lamb,Scaly Spoon,Indian Star,Silence Whisper,Twin Tail,11674198,mech,Neo,Tassels,Antenna,Pumpkin,Mosquito,Ant,rune_reptile_2010_s5_nft,rune_plant_2010_s5_nft,rune_neutral_defensive_1,ecard_neutral_1001,ecard_neutral_1001,ecard_bug_2013_s5_nft,ecard_bug_2011_s5_nft,ecard_aquatic_2013_s5_nft,ecard_neutral_1001,ecard_reptile_2011_s5_nft,ecard_plant_olek_1,ecard_neutral_1001,ecard_reptile_2011_s5_nft,ecard_reptile_2011_s5_nft,ecard_neutral_2017_s5_nft,ecard_neutral_1001,ecard_neutral_2018_s5_nft,ecard_neutral_1001,ecard_bug_2013_s5_nft,ecard_plant_2011_s5_nft,ecard_neutral_2020_s5_nft,Sustain
20,20,1ec9eb7e-3639-6f34-a60c-d9bc5cb95d4b,Yosulmant,21,Tiger,2,s4_top1k;0,1340,2023-07-27 00:19:21,11731440,plant,Bookworm,Leafy,Bamboo Shoot,Garish Worm,Risky Fish,Shrimp,11763497,plant,Little Peas,Leafy,Bamboo Shoot,Garish Worm,Risky Fish,Cottontail,11723487,aquatic,Little Peas,Leafy,Bamboo Shoot,Garish Worm,Risky Fish,Shrimp,rune_plant_olek_1,rune_neutral_2010_s5_nft,rune_aquatic_2010_s5_nft,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_1001,ecard_plant_2011_s5_nft,ecard_bug_2013_s5_nft,ecard_neutral_1001,ecard_beast_2011_s5_nft,ecard_aquatic_2011_s5_nft,ecard_neutral_1003,ecard_plant_ena_1,ecard_neutral_1002,ecard_neutral_1014_s5,ecard_beast_2011_s5_nft,ecard_aquatic_2011_s5_nft,ecard_neutral_1003,ecard_plant_ena_1,ecard_neutral_1002,ecard_aquatic_2011_s5_nft,Leafy
21,21,1ec9eb7e-3244-6866-a60c-f82750afc632,Art | TRIBE | Y!,22,Tiger,2,s4_top20k;bandila_celebration,1340,2023-07-27 04:30:06,11782048,plant,Blossom,Leafy,Bamboo Shoot,Garish Worm,Square Teeth,Shrimp,11802581,bug,Papi,Leafy,Bamboo Shoot,Hero,Confident,Cottontail,11798551,beast,Little Peas,Leafy,Bamboo Shoot,Ronin,Serious,Shrimp,rune_plant_olek_1,rune_bug_2011_s5_nft,rune_neutral_offensive_1,ecard_plant_2011_s5_nft,ecard_neutral_2019_s5_nft,ecard_neutral_1001,ecard_neutral_1011_s5,ecard_bug_2013_s5_nft,ecard_neutral_1002,ecard_plant_olek_1,ecard_neutral_2020_s5_nft,ecard_neutral_1010_s5,ecard_neutral_1002,ecard_neutral_1011_s5,ecard_neutral_1001,ecard_beast_buba_1,ecard_neutral_1001,ecard_plant_2011_s5_nft,ecard_plant_ena_1,ecard_beast_2011_s5_nft,ecard_neutral_2018_s5_nft,Leafy
22,22,1ec9eb77-8412-6b13-a60c-64f1c70cd6db,mAXS Bots incoming!,23,Tiger,2,s3_top20k;gold_s4,1340,2023-07-26 22:30:08,11786040,dusk,Neo,Inkling,Parasite,Raven,Doubletalk,Hot Butt,11773845,dusk,Neo,Inkling,Shoal Star,Garish Worm,Doubletalk,Cottontail,11780131,dusk,Papi,Inkling,Parasite,Garish Worm,Doubletalk,Tadpole,rune_dusk_2011_s5_nft,rune_dusk_2011_s5_nft,rune_dusk_2011_s5_nft,ecard_neutral_2010_s5_nft,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_1001,ecard_bird_2013_s5_nft,ecard_plant_2011_s5_nft,ecard_bug_2013_s5_nft,ecard_bird_2012_s5_nft,ecard_aquatic_2013_s5_nft,ecard_neutral_1001,ecard_bug_2012_s5_nondec,ecard_neutral_1001,ecard_plant_2011_s5_nft,ecard_bird_2012_s5_nft,ecard_neutral_2011_s5_nft,ecard_neutral_1001,ecard_bug_2012_s5_nft,ecard_aquatic_2013_s5_nft,Jinx
23,23,1ec9eb6f-9dd4-6801-a60c-b9bc94d9f3cb,D4r5n3ss | HOK,24,Tiger,3,s3_top1k;silver_s4,1330,2023-07-27 04:04:34,11750488,plant,Kotaro?,Leafy,Bamboo Shoot,Buzz Buzz,Square Teeth,Cattail,11760796,plant,Kotaro?,Leafy,Bamboo Shoot,Buzz Buzz,Square Teeth,Cottontail,11754678,plant,Clear,Leafy,Bamboo Shoot,Garish Worm,Serious,Shrimp,rune_plant_olek_1,rune_plant_2010_s5_nft,rune_plant_2010_s5_nft,ecard_bug_2012_s5_nft,ecard_bug_2013_s5_nft,ecard_neutral_1001,ecard_plant_ena_1,ecard_neutral_2010_s5_nft,ecard_plant_2011_s5_nft,ecard_bug_2012_s5_nft,ecard_bug_2013_s5_nft,ecard_neutral_1012_s5,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_2017_s5_nft,ecard_neutral_1001,ecard_neutral_1001,ecard_neutral_2012_s5_nft,ecard_plant_ena_1,ecard_bug_2012_s5_nft,ecard_aquatic_2011_s5_nft,Leafy
